ProductID,Name,Price
1,Adjustable Race,1.6
2,Bearing Ball,0.8
3,BB Ball Bearing,2.4
4,Headset Ball Bearings,0
5,Blade,189.6
6,LL Crankarm,380.4
7,ML Crankarm,190.8
8,HL Crankarm,319
9,Chainring Bolts,0
10,Chainring Nut,192.6
11,Chainring,193.2
12,Crown Race,516.8
13,Chain Stays,64.8
14,Decal 1,195
15,Decal 2,130.4
16,Down Tube,457.8
17,Mountain End Caps,590.4
18,Road End Caps,592.2
19,Touring End Caps,0
20,Fork End,397.2
21,Freewheel,531.2
22,Flat Washer 1,0
23,Flat Washer 6,0
24,Flat Washer 2,0
25,Flat Washer 9,0
26,Flat Washer 4,0
27,Flat Washer 3,415.2
28,Flat Washer 8,0
29,Flat Washer 5,417.6
30,Flat Washer 7,418.8
31,Fork Crown,350
32,Front Derailleur Cage,561.6
33,Front Derailleur Linkage,0
34,Guide Pulley,568
35,LL Grip Tape,142.4
36,ML Grip Tape,0
37,HL Grip Tape,0
38,Thin-Jam Hex Nut 9,71.8
39,Thin-Jam Hex Nut 10,144
40,Thin-Jam Hex Nut 1,144.4
41,Thin-Jam Hex Nut 2,144.8
42,Thin-Jam Hex Nut 15,72.6
43,Thin-Jam Hex Nut 16,72.8
44,Thin-Jam Hex Nut 5,73
45,Thin-Jam Hex Nut 6,146.4
46,Thin-Jam Hex Nut 3,440.4
47,Thin-Jam Hex Nut 4,441.6
48,Thin-Jam Hex Nut 13,73.8
49,Thin-Jam Hex Nut 14,74
50,Thin-Jam Hex Nut 7,445.2
51,Thin-Jam Hex Nut 8,446.4
52,Thin-Jam Hex Nut 12,596.8
53,Thin-Jam Hex Nut 11,448.8
54,Hex Nut 5,150
55,Hex Nut 6,225.6
56,Hex Nut 16,75.4
57,Hex Nut 17,151.2
58,Hex Nut 7,151.6
59,Hex Nut 8,152
60,Hex Nut 9,152.4
61,Hex Nut 22,76.4
62,Hex Nut 23,76.6
63,Hex Nut 12,76.8
64,Hex Nut 13,154
65,Hex Nut 1,0
66,Hex Nut 10,464.4
67,Hex Nut 11,465.6
68,Hex Nut 2,0
69,Hex Nut 20,78
70,Hex Nut 21,78.2
71,Hex Nut 3,156.8
72,Hex Nut 14,471.6
73,Hex Nut 15,472.8
74,Hex Nut 4,158
75,Hex Nut 18,475.2
76,Hex Nut 19,476.4
77,Handlebar Tube,636.8
78,Head Tube,79.8
79,LL Hub,640
80,HL Hub,721.8
81,Keyed Washer,723.6
82,External Lock Washer 3,0
83,External Lock Washer 4,0
84,External Lock Washer 9,0
85,External Lock Washer 5,0
86,External Lock Washer 7,0
87,External Lock Washer 6,489.6
88,External Lock Washer 1,0
89,External Lock Washer 8,492
90,External Lock Washer 2,0
91,Internal Lock Washer 3,0
92,Internal Lock Washer 4,0
93,Internal Lock Washer 9,0
94,Internal Lock Washer 5,0
95,Internal Lock Washer 7,0
96,Internal Lock Washer 6,500.4
97,Internal Lock Washer 10,0
98,Internal Lock Washer 1,0
99,Internal Lock Washer 8,504
100,Internal Lock Washer 2,0
101,Thin-Jam Lock Nut 9,84.4
102,Thin-Jam Lock Nut 10,169.2
103,Thin-Jam Lock Nut 1,169.6
104,Thin-Jam Lock Nut 2,170
105,Thin-Jam Lock Nut 15,85.2
106,Thin-Jam Lock Nut 16,85.4
107,Thin-Jam Lock Nut 5,85.6
108,Thin-Jam Lock Nut 6,171.6
109,Thin-Jam Lock Nut 3,516
110,Thin-Jam Lock Nut 4,517.2
111,Thin-Jam Lock Nut 13,86.4
112,Thin-Jam Lock Nut 14,86.6
113,Thin-Jam Lock Nut 7,520.8
114,Thin-Jam Lock Nut 8,522
115,Thin-Jam Lock Nut 12,697.6
116,Thin-Jam Lock Nut 11,524.4
117,Lock Nut 5,175.2
118,Lock Nut 6,263.4
119,Lock Nut 16,88
120,Lock Nut 17,176.4
121,Lock Nut 7,176.8
122,Lock Nut 8,177.2
123,Lock Nut 9,177.6
124,Lock Nut 22,89
125,Lock Nut 23,89.2
126,Lock Nut 12,89.4
127,Lock Nut 13,179.2
128,Lock Nut 1,0
